Freq[Hz]  Imp[Ohm]  Phase[Deg]
164.688      8.259    30.177
167.084      8.377    30.238
169.514      8.511    30.218
171.980      8.645    30.074
174.481      8.775    29.842
177.019      8.895    29.534
179.594      9.006    29.227
182.206      9.115    28.929
184.856      9.224    28.559
187.545      9.312    28.131
190.273      9.392    27.810
193.041      9.485    27.472
195.849      9.555    27.009
198.697      9.594    26.646
201.587      9.626    26.518
204.520      9.684    26.593
207.494      9.780    26.656
210.512      9.892    26.632
213.574     10.026    26.543
216.681     10.170    26.267
219.833     10.303    25.909
223.030     10.444    25.473
226.274     10.568    24.853
229.565     10.664    24.270
232.905     10.760    23.685
236.292     10.844    23.031
239.729     10.900    22.394
243.216     10.943    21.884
246.754     11.005    21.440
250.343     11.070    20.897
253.984     11.121    20.386
257.678     11.185    19.864
261.426     11.230    19.208
265.229     11.250    18.678
269.087     11.292    18.187
273.001     11.329    17.558
276.972     11.335    16.908
281.000     11.320    16.348
285.088     11.304    15.893
289.234     11.291    15.466
293.441     11.272    15.055
297.709     11.250    14.700
302.040     11.227    14.383
306.433     11.205    14.115
310.890     11.191    13.866
315.412     11.172    13.586
320.000     11.143    13.365
324.655     11.119    13.211
329.377     11.098    13.072
334.168     11.080    12.987
339.028     11.066    12.898
343.959     11.049    12.848
348.962     11.043    12.874
354.038     11.045    12.886
359.188     11.058    12.909
364.412     11.075    12.922
369.713     11.095    12.910
375.090     11.115    12.919
380.546     11.144    12.939
386.081     11.181    12.937
391.697     11.221    12.903
397.394     11.255    12.861
403.175     11.295    12.853
409.039     11.346    12.835
414.989     11.396    12.814
421.025     11.458    12.763
427.149     11.523    12.680
433.362     11.595    12.589
439.665     11.670    12.435
446.060     11.749    12.279
452.548     11.825    12.070
459.131     11.915    11.808
465.809     11.989    11.495
472.584     12.073    11.175
479.458     12.150    10.752
486.432     12.214    10.318
493.507     12.274     9.854
500.686     12.317     9.354
507.968     12.370     8.911
515.357     12.410     8.358
522.853     12.432     7.847
530.458     12.458     7.310
538.174     12.467     6.778
546.002     12.470     6.263
553.943     12.471     5.746
562.001     12.457     5.237
570.175     12.438     4.719
578.469     12.404     4.254
586.883     12.374     3.789
595.419     12.330     3.383
604.080     12.293     2.986
612.866     12.246     2.607
621.780     12.197     2.242
630.824     12.138     1.962
640.000     12.093     1.656
649.309     12.039     1.395
658.753     11.981     1.162
668.335     11.926     0.992
678.056     11.878     0.786
687.919     11.825     0.615
697.925     11.779     0.490
708.077     11.734     0.356
718.376     11.683     0.254
728.825     11.645     0.160
739.426     11.603     0.084
750.181     11.563     0.026
761.093     11.527    -0.010
772.163     11.496    -0.039
783.394     11.462    -0.077
794.789     11.439    -0.088
806.349     11.419    -0.116
818.078     11.397    -0.154
829.977     11.375    -0.142
842.050     11.362    -0.174
854.298     11.342    -0.184
866.724     11.332    -0.182
879.330     11.322    -0.210
892.120     11.323    -0.231
905.097     11.313    -0.285
918.262     11.311    -0.353
931.618     11.305    -0.427
945.169     11.301    -0.485
958.917     11.297    -0.553
972.864     11.288    -0.612
987.015     11.287    -0.674
1001.37     11.286    -0.754
1015.94     11.288    -0.843
1030.71     11.285    -0.962
1045.71     11.286    -1.047
1060.92     11.284    -1.180
1076.35     11.278    -1.330
1092.00     11.274    -1.477
1107.89     11.272    -1.592
1124.00     11.263    -1.732
1140.35     11.255    -1.912
1156.94     11.251    -2.078
1173.77     11.233    -2.248
1190.84     11.218    -2.440
1208.16     11.205    -2.606
1225.73     11.186    -2.823
1243.56     11.163    -3.007
1261.65     11.137    -3.214
1280.00     11.111    -3.380
1298.62     11.078    -3.589
1317.51     11.043    -3.789
1336.67     10.999    -3.975
1356.11     10.957    -4.109
1375.84     10.917    -4.281
1395.85     10.875    -4.460
1416.15     10.820    -4.635
1436.75     10.759    -4.763
1457.65     10.704    -4.875
1478.85     10.642    -4.963
1500.36     10.575    -5.065
1522.19     10.505    -5.141
1544.33     10.424    -5.147
1566.79     10.351    -5.071
1589.58     10.282    -5.025
1612.70     10.208    -4.925
1636.16     10.135    -4.785
1659.95     10.066    -4.603
1684.10     10.002    -4.381
1708.60      9.940    -4.161
1733.45      9.879    -3.910
1758.66      9.816    -3.619
1784.24      9.758    -3.270
1810.19      9.707    -2.909
1836.52      9.657    -2.519
1863.24      9.610    -2.066
1890.34      9.570    -1.590
1917.83      9.537    -1.077
1945.73      9.511    -0.527
1974.03      9.492     0.052
2002.74      9.483     0.657
2031.87      9.483     1.285
2061.43      9.495     1.929
2091.41      9.517     2.577
2121.83      9.551     3.231
2152.69      9.599     3.877
2184.01      9.658     4.506
2215.77      9.731     5.111
2248.00      9.817     5.679
2280.70      9.918     6.207
2313.87     10.032     6.669
2347.53     10.159     7.059
2381.68     10.298     7.361
2416.32     10.447     7.561
2451.46     10.600     7.645
2487.12     10.753     7.617
2523.30     10.902     7.492
2560.00     11.043     7.288
2597.24     11.176     7.027
2635.01     11.301     6.729
2673.34     11.419     6.384
2712.23     11.528     6.012
2751.68     11.631     5.609
2791.70     11.726     5.182
2832.31     11.813     4.736
2873.50     11.893     4.273
2915.30     11.964     3.799
2957.70     12.029     3.315
3000.72     12.087     2.826
3044.37     12.138     2.335
3088.65     12.182     1.845
3133.58     12.221     1.357
3179.16     12.255     0.872
3225.40     12.284     0.390
3272.31     12.309    -0.097
3319.91     12.331    -0.586
3368.20     12.348    -1.076
3417.19     12.361    -1.566
3466.89     12.369    -2.062
3517.32     12.373    -2.559
3568.48     12.372    -3.056
3620.39     12.367    -3.554
3673.05     12.355    -4.054
3726.47     12.339    -4.551
3780.67     12.319    -5.044
3835.67     12.292    -5.533
3891.46     12.261    -6.017
3948.06     12.224    -6.492
4005.49     12.184    -6.959
4063.75     12.138    -7.411
4122.86     12.088    -7.850
4182.82     12.034    -8.276
4243.66     11.977    -8.689
4305.39     11.917    -9.089
4368.01     11.854    -9.475
4431.55     11.788    -9.846
4496.01     11.719   -10.201
4561.40     11.647   -10.539
4627.75     11.573   -10.860
4695.06     11.497   -11.163
