Freq[Hz]      Mag   Phase[Deg]
177.019     98.163     0.000
179.594     98.152     0.000
182.206     98.139     0.000
184.856     98.128     0.000
187.545     98.141     0.000
190.273     98.152     0.000
193.041     98.147     0.000
195.849     98.167     0.000
198.697     98.210     0.000
201.587     98.250     0.000
204.520     98.252     0.000
207.494     98.214     0.000
210.512     98.162     0.000
213.574     98.089     0.000
216.681     98.010     0.000
219.833     97.942     0.000
223.030     97.864     0.000
226.274     97.802     0.000
229.565     97.765     0.000
232.905     97.720     0.000
236.292     97.679     0.000
239.729     97.660     0.000
243.216     97.654     0.000
246.754     97.630     0.000
250.343     97.594     0.000
253.984     97.565     0.000
257.678     97.513     0.000
261.426     97.459     0.000
265.229     97.432     0.000
269.087     97.391     0.000
273.001     97.338     0.000
276.972     97.298     0.000
281.000     97.272     0.000
285.088     97.253     0.000
289.234     97.225     0.000
293.441     97.191     0.000
297.709     97.157     0.000
302.040     97.126     0.000
306.433     97.109     0.000
310.890     97.081     0.000
315.412     97.043     0.000
320.000     97.010     0.000
324.655     96.982     0.000
329.377     96.956     0.000
334.168     96.935     0.000
339.028     96.912     0.000
343.959     96.899     0.000
348.962     96.886     0.000
354.038     96.870     0.000
359.188     96.851     0.000
364.412     96.822     0.000
369.713     96.769     0.000
375.090     96.726     0.000
380.546     96.686     0.000
386.081     96.643     0.000
391.697     96.604     0.000
397.394     96.566     0.000
403.175     96.527     0.000
409.039     96.485     0.000
414.989     96.452     0.000
421.025     96.419     0.000
427.149     96.388     0.000
433.362     96.361     0.000
439.665     96.329     0.000
446.060     96.305     0.000
452.548     96.288     0.000
459.131     96.272     0.000
465.809     96.261     0.000
472.584     96.261     0.000
479.458     96.253     0.000
486.432     96.255     0.000
493.507     96.269     0.000
500.686     96.285     0.000
507.968     96.292     0.000
515.357     96.212     0.000
522.853     96.134     0.000
530.458     96.066     0.000
538.174     96.006     0.000
546.002     95.957     0.000
553.943     95.916     0.000
562.001     95.881     0.000
570.175     95.853     0.000
578.469     95.844     0.000
586.883     95.872     0.000
595.419     95.930     0.000
604.080     95.993     0.000
612.866     96.043     0.000
621.780     96.089     0.000
630.824     96.140     0.000
640.000     96.201     0.000
649.309     96.259     0.000
658.753     96.116     0.000
668.335     95.889     0.000
678.056     95.667     0.000
687.919     95.449     0.000
697.925     95.248     0.000
708.077     95.052     0.000
718.376     94.860     0.000
728.825     94.782     0.000
739.426     94.793     0.000
750.181     94.831     0.000
761.093     94.875     0.000
772.163     94.926     0.000
783.394     94.974     0.000
794.789     95.043     0.000
806.349     95.142     0.000
818.078     95.262     0.000
829.977     95.377     0.000
842.050     95.504     0.000
854.298     95.618     0.000
866.724     95.741     0.000
879.330     95.821     0.000
892.120     95.899     0.000
905.097     95.957     0.000
918.262     96.004     0.000
931.618     96.036     0.000
945.169     96.061     0.000
958.917     96.084     0.000
972.864     96.095     0.000
987.015     96.110     0.000
1001.37     96.121     0.000
1015.94     96.117     0.000
1030.71     96.085     0.000
1045.71     96.039     0.000
1060.92     96.002     0.000
1076.35     95.969     0.000
1092.00     95.944     0.000
1107.89     95.927     0.000
1124.00     95.910     0.000
1140.35     95.904     0.000
1156.94     95.896     0.000
1173.77     95.881     0.000
1190.84     95.883     0.000
1208.16     95.849     0.000
1225.73     95.784     0.000
1243.56     95.689     0.000
1261.65     95.596     0.000
1280.00     95.491     0.000
1298.62     95.400     0.000
1317.51     95.306     0.000
1336.67     95.211     0.000
1356.11     95.101     0.000
1375.84     95.004     0.000
1395.85     94.912     0.000
1416.15     94.825     0.000
1436.75     94.731     0.000
1457.65     94.632     0.000
1478.85     94.535     0.000
1500.36     94.466     0.000
1522.19     94.458     0.000
1544.33     94.498     0.000
1566.79     94.529     0.000
1589.58     94.576     0.000
1612.70     94.624     0.000
1636.16     94.672     0.000
1659.95     94.715     0.000
1684.10     94.754     0.000
1708.60     94.802     0.000
1733.45     94.854     0.000
1758.66     94.914     0.000
1784.24     94.961     0.000
1810.19     94.956     0.000
1836.52     94.872     0.000
1863.24     94.718     0.000
1890.34     94.552     0.000
1917.83     94.383     0.000
1945.73     94.217     0.000
1974.03     94.053     0.000
2002.74     93.889     0.000
2031.87     93.728     0.000
2061.43     93.570     0.000
2091.41     93.413     0.000
2121.83     93.253     0.000
2152.69     93.094     0.000
2184.01     92.949     0.000
2215.77     92.822     0.000
2248.00     92.715     0.000
2280.70     92.628     0.000
2313.87     92.557     0.000
2347.53     92.505     0.000
2381.68     92.477     0.000
2416.32     92.508     0.000
2451.46     92.624     0.000
2487.12     92.801     0.000
2523.30     92.987     0.000
2560.00     93.186     0.000
2597.24     93.383     0.000
2635.01     93.597     0.000
2673.34     93.805     0.000
2712.23     93.979     0.000
2751.68     94.034     0.000
2791.70     94.018     0.000
2832.31     93.980     0.000
2873.50     93.946     0.000
2915.30     93.909     0.000
2957.70     93.871     0.000
3000.72     93.809     0.000
3044.37     93.688     0.000
3088.65     93.516     0.000
3133.58     93.326     0.000
3179.16     93.138     0.000
3225.40     92.943     0.000
3272.31     92.758     0.000
3319.91     92.601     0.000
3368.20     92.525     0.000
3417.19     92.483     0.000
3466.89     92.457     0.000
3517.32     92.422     0.000
3568.48     92.397     0.000
3620.39     92.413     0.000
3673.05     92.512     0.000
3726.47     92.653     0.000
3780.67     92.806     0.000
3835.67     92.961     0.000
3891.46     93.113     0.000
3948.06     93.244     0.000
4005.49     93.352     0.000
4063.75     93.452     0.000
4122.86     93.551     0.000
4182.82     93.634     0.000
4243.66     93.649     0.000
