* LEAP(TM) 5.2.0.363  May/14/2007
* ©1993-2005 LinearX Systems Inc
* Dec 26, 2018   Wed 10:18 pm
* Design=\\tsclient\C\Data Simulaties\Leap\Forum Monkey Box\Forum monkey box MBrenn Faital 12PR320 FS 1m 283 V2.led
* Curve=Import: Meas Mbrenn FaitalPRO_12PR320_impedance_pr
* Info1=\\tsclient\C\Data Simulaties\Leap\Forum Monkey Box\Measurements\20181208\Meas Mb
* Info2=File Created: Dec/09/2018 5:05 PM
* Info3=File Imported: Dec  9, 2018  Sun  5:05 pm
* Info4=
* DataPoints= 1500
* DataUnits=  Hz   Ohm  Deg
 +1.000000E+001, +1.000000E+000, +1.000000E+000
 +1.004620E+001, +1.000000E+000, +1.000000E+000
 +1.009260E+001, +6.203000E+000, +2.221480E+001
 +1.013920E+001, +6.211400E+000, +2.231320E+001
 +1.018600E+001, +6.219800E+000, +2.241200E+001
 +1.023310E+001, +6.228300E+000, +2.251120E+001
 +1.028040E+001, +6.235900E+000, +2.261490E+001
 +1.032780E+001, +6.242800E+000, +2.272240E+001
 +1.037550E+001, +6.249700E+000, +2.283050E+001
 +1.042350E+001, +6.256700E+000, +2.293910E+001
 +1.047160E+001, +6.266400E+000, +2.305010E+001
 +1.052000E+001, +6.276600E+000, +2.316190E+001
 +1.056860E+001, +6.286800E+000, +2.327430E+001
 +1.061740E+001, +6.296100E+000, +2.338070E+001
 +1.066640E+001, +6.303300E+000, +2.347290E+001
 +1.071570E+001, +6.310500E+000, +2.356550E+001
 +1.076520E+001, +6.317800E+000, +2.365860E+001
 +1.081490E+001, +6.324800E+000, +2.377300E+001
 +1.086490E+001, +6.331800E+000, +2.389410E+001
 +1.091500E+001, +6.338800E+000, +2.401570E+001
 +1.096550E+001, +6.346700E+000, +2.413850E+001
 +1.101610E+001, +6.356600E+000, +2.426320E+001
 +1.106700E+001, +6.366600E+000, +2.438850E+001
 +1.111810E+001, +6.376600E+000, +2.451430E+001
 +1.116950E+001, +6.389100E+000, +2.462390E+001
 +1.122100E+001, +6.402000E+000, +2.473170E+001
 +1.127290E+001, +6.415000E+000, +2.484000E+001
 +1.132490E+001, +6.425600E+000, +2.494500E+001
 +1.137730E+001, +6.433900E+000, +2.504700E+001
 +1.142980E+001, +6.442200E+000, +2.514940E+001
 +1.148260E+001, +6.451400E+000, +2.525490E+001
 +1.153560E+001, +6.464400E+000, +2.537070E+001
 +1.158890E+001, +6.477400E+000, +2.548710E+001
 +1.164240E+001, +6.490400E+000, +2.560400E+001
 +1.169620E+001, +6.498900E+000, +2.571530E+001
 +1.175020E+001, +6.507300E+000, +2.582670E+001
 +1.180450E+001, +6.515600E+000, +2.593870E+001
 +1.185900E+001, +6.525700E+000, +2.606490E+001
 +1.191380E+001, +6.536600E+000, +2.619680E+001
 +1.196880E+001, +6.547500E+000, +2.632930E+001
 +1.202410E+001, +6.557400E+000, +2.647370E+001
 +1.207970E+001, +6.566700E+000, +2.662740E+001
 +1.213550E+001, +6.576000E+000, +2.678190E+001
 +1.219150E+001, +6.589000E+000, +2.690660E+001
 +1.224780E+001, +6.606700E+000, +2.699250E+001
 +1.230440E+001, +6.624400E+000, +2.707880E+001
 +1.236120E+001, +6.639900E+000, +2.719010E+001
 +1.241830E+001, +6.651100E+000, +2.734590E+001
 +1.247570E+001, +6.662500E+000, +2.750240E+001
 +1.253330E+001, +6.674400E+000, +2.765220E+001
 +1.259120E+001, +6.687700E+000, +2.778730E+001
 +1.264930E+001, +6.701100E+000, +2.792300E+001
 +1.270780E+001, +6.713700E+000, +2.805730E+001
 +1.276650E+001, +6.724600E+000, +2.818810E+001
 +1.282540E+001, +6.735500E+000, +2.831950E+001
 +1.288470E+001, +6.749200E+000, +2.845170E+001
 +1.294420E+001, +6.767200E+000, +2.858490E+001
 +1.300400E+001, +6.785300E+000, +2.871880E+001
 +1.306400E+001, +6.802200E+000, +2.886220E+001
 +1.312440E+001, +6.817600E+000, +2.901660E+001
 +1.318500E+001, +6.833100E+000, +2.917170E+001
 +1.324590E+001, +6.849300E+000, +2.931610E+001
